# wn[cm-1] real imag
31250.00 1.52 0.00097
29411.76 1.52 0.00093
27777.77 1.52 0.00093
26315.78 1.52 0.00087
25000.00 1.52 0.00086
23809.52 1.52 0.00085
22727.27 1.52 0.00088
21739.13 1.52 0.00088
20833.33 1.52 0.00091
20000.00 1.52 0.00092
19230.76 1.52 0.00092
18518.51 1.5198 0.00093
17857.14 1.5196 0.00095
17241.37 1.5193 0.00095
16666.66 1.519 0.00099
14285.71 1.5165 0.0011
12500.00 1.5135 0.0013
11111.11 1.511 0.0014
10000.00 1.51 0.0016
9090.90 1.51 0.0017
8333.33 1.51 0.0018
7692.30 1.51 0.0019
7142.85 1.51 0.0021
6666.66 1.51 0.0022
6250.00 1.51 0.0022
5882.35 1.51 0.0024
5555.55 1.51 0.0025
5263.15 1.51 0.0026
5000.00 1.51 0.0027
4761.90 1.5094 0.0028
4545.45 1.5078 0.0028
4347.82 1.5054 0.0029
4166.66 1.5027 0.003
4000.00 1.5 0.0031
3921.56 1.4984 0.0031
3846.15 1.4965 0.0032
3773.58 1.4943 0.0032
3703.70 1.4919 0.0033
3636.36 1.4894 0.0035
3571.42 1.487 0.0038
3508.77 1.4847 0.004
3448.27 1.4828 0.0041
3389.83 1.4811 0.0041
3333.33 1.48 0.0043
3278.68 1.4792 0.0044
3225.80 1.4785 0.0042
3174.60 1.4778 0.0042
3125.00 1.4773 0.0042
3076.92 1.4768 0.0042
3030.30 1.4763 0.004
2985.07 1.4759 0.0041
2941.17 1.4755 0.004
2898.55 1.4752 0.0041
2857.14 1.4749 0.0041
2777.77 1.4742 0.0041
2702.70 1.4734 0.004
2631.57 1.4725 0.0042
2564.10 1.4714 0.0038
2500.00 1.47 0.0039
2352.94 1.4637 0.0041
2222.22 1.454 0.0044
2105.26 1.4423 0.0051
2000.00 1.43 0.006
1904.76 1.4175 0.007
1818.18 1.4036 0.0083
1739.13 1.388 0.0099
1666.66 1.37 0.013
1538.46 1.32 0.02
1428.57 1.27 0.034
1333.33 1.18 0.061
1250.00 1.04 0.13
1212.12 0.95 0.21
1176.47 0.84 0.35
1142.85 0.81 0.6
1111.11 0.94 0.86
1052.63 1.32 0.97
1000.00 1.65 1.2
952.38 2.17 0.93
909.09 2.21 0.39
869.56 2.02 0.2
833.33 1.9 0.14
800.00 1.8 0.11
769.23 1.73 0.1
740.74 1.66 0.1
714.28 1.59 0.11
689.65 1.52 0.14
666.66 1.44 0.19
645.16 1.36 0.28
625.00 1.32 0.45
606.06 1.44 0.64
588.23 1.62 0.63
571.42 1.65 0.58
555.55 1.67 0.62
540.54 1.8 0.65
526.31 1.88 0.57
512.82 1.88 0.47
500.00 1.84 0.42
487.80 1.78 0.4
476.19 1.73 0.43
465.11 1.7 0.48
454.54 1.69 0.54
444.44 1.71 0.62
434.78 1.77 0.676
425.53 1.84 0.71
416.66 1.92 0.71
400.00 2.02 0.67
384.61 2.11 0.7
370.37 2.24 0.53
357.14 2.2 0.45
344.82 2.19 0.431
333.33 2.2 0.42
285.71 2.26 0.24
250.00 2.21 0.13
222.22 2.16 0.089
200.00 2.14 0.071
