# wn[cm-1] real imag
50000.00 1.526 1.07e-8
40000.00 1.512 1.07e-8
33333.33 1.496 1.07e-8
29673.59 1.484 1.07e-8
25000.00 1.464 1.07e-8
20491.80 1.456 1.07e-8
19417.47 1.454 1.07e-8
18181.81 1.454 1.07e-8
15797.78 1.452 1.56e-8
14409.22 1.452 2.12e-8
11627.90 1.448 1.90e-7
9433.96 1.443 1.60e-6
7692.30 1.432 1.06e-5
6510.41 1.425 1.46e-4
5555.55 1.411 5.85e-4
5000.00 1.405 0.00134
4444.44 1.390 0.00192
4000.00 1.362 0.00399
3703.70 1.319 0.00604
3333.33 1.288 0.0875
3125.00 1.292 0.144
2948.11 1.366 0.178
2857.14 1.383 0.179
2666.66 1.420 0.165
2500.00 1.435 0.151
2222.22 1.427 0.156
2000.00 1.411 0.137
1818.18 1.376 0.195
1666.66 1.485 0.195
1612.90 1.485 0.147
1538.46 1.421 0.0841
1388.88 1.235 0.166
1265.82 1.148 0.461
1219.51 1.220 0.709
1176.47 1.457 0.840
1149.42 1.753 0.817
1111.11 1.767 0.604
1086.95 1.704 0.557
1052.63 1.791 0.736
1020.40 2.128 0.465
1000.00 2.094 0.306
944.19 1.805 0.210
909.09 1.823 0.433
869.56 2.024 0.199
800.00 1.808 0.110
769.23 1.790 0.112
714.28 1.739 0.134
675.67 1.663 0.163
666.66 1.656 0.181
609.75 1.692 0.463
581.39 2.003 0.616
555.55 2.207 0.166
540.54 2.041 0.0940
500.00 1.895 0.0558
469.48 1.809 0.146
444.44 1.942 0.187
400.00 1.993 0.0274
358.42 0.000 0.000
333.33 0.000 0.000
285.71 0.000 0.000
250.00 0.000 0.000
