# wn[cm-1] real imag
50000.00 1.394 1.50e-8
40000.00 1.351 8.60e-9
33333.33 1.334 5.50e-9
29673.59 1.326 4.50e-9
25000.00 1.320 2.71e-9
20491.80 1.313 1.75e-9
19417.47 1.312 2.19e-9
18181.81 1.311 3.11e-9
15797.78 1.308 1.09e-8
14409.22 1.306 2.62e-8
11627.90 1.303 2.15e-7
9433.96 1.300 1.96e-6
7692.30 1.295 1.32e-5
6510.41 1.290 6.10e-4
5555.55 1.282 1.13e-4
5000.00 1.273 1.61e-3
4444.44 1.256 2.13e-4
4000.00 1.225 7.95e-4
3703.70 1.163 0.00293
3333.33 1.045 0.429
3125.00 1.652 0.283
2948.11 1.510 0.0401
2857.14 1.453 0.0161
2666.66 1.391 0.0070
2500.00 1.361 0.0100
2222.22 1.340 0.0287
2000.00 1.327 0.0120
1818.18 1.299 0.0217
1666.66 1.296 0.0647
1612.90 1.313 0.0683
1538.46 1.320 0.0559
1388.88 1.318 0.0544
1265.82 1.313 0.0479
1219.51 1.306 0.0390
1176.47 1.291 0.0391
1149.42 1.282 0.0400
1111.11 1.269 0.0429
1086.95 1.261 0.0446
1052.63 1.245 0.0459
1020.40 1.219 0.0470
1000.00 1.197 0.0510
944.19 1.098 0.131
909.09 1.093 0.239
869.56 1.176 0.360
800.00 1.387 0.422
769.23 1.472 0.389
714.28 1.569 0.283
675.67 1.579 0.191
666.66 1.572 0.177
609.75 1.531 0.125
581.39 1.534 0.107
555.55 1.522 0.0839
540.54 1.510 0.0760
500.00 1.504 0.0670
469.48 1.481 0.0385
444.44 1.455 0.0291
400.00 1.414 0.0299
358.42 1.358 0.0490
333.33 1.325 0.0650
285.71 1.226 0.155
250.00 1.202 0.344
222.22 1.299 0.601
200.00 1.629 0.543
181.81 1.767 0.420
166.66 1.585 0.390
153.84 1.748 0.490
142.85 1.869 0.399
125.00 1.903 0.235
111.11 1.856 0.165
100.00 1.832 0.139
90.90 1.821 0.126
83.33 1.819 0.120
74.07 1.819 0.108
66.66 1.823 0.0962
60.60 1.829 0.0846
55.55 1.832 0.0650
50.00 1.827 0.0452
40.00 1.807 0.0222
33.33 1.795 0.0153
25.00 1.786 0.0125
20.00 1.783 0.0106
13.33 1.782 0.0080
10.00 1.781 0.0065
6.66 1.782 0.0049
5.00 1.782 0.0040
3.33 1.782 0.0030
2.00 1.783 0.0021
1.00 1.784 0.0013
0.50 1.784 7.9e-4
0.33 1.784 5.9e-4
