# wn[cm-1] real imag
2.2573e+05 0.8228 1.640e-01
2.2173e+05 0.8250 1.730e-01
2.1786e+05 0.8255 1.830e-01
2.1368e+05 0.8258 1.950e-01
2.0964e+05 0.8263 2.080e-01
2.0576e+05 0.8281 2.230e-01
2.0161e+05 0.8347 2.400e-01
1.9763e+05 0.8428 2.500e-01
1.9342e+05 0.8483 2.590e-01
1.8939e+05 0.8505 2.680e-01
1.8553e+05 0.8497 2.790e-01
1.8149e+05 0.8489 2.970e-01
1.7730e+05 0.8519 3.190e-01
1.7331e+05 0.8566 3.400e-01
1.6949e+05 0.8647 3.660e-01
1.6529e+05 0.8797 3.920e-01
1.6129e+05 0.8970 4.160e-01
1.5723e+05 0.9173 4.400e-01
1.5314e+05 0.9400 4.640e-01
1.4925e+05 0.9679 4.920e-01
1.4514e+05 1.0093 5.170e-01
1.4124e+05 1.0536 5.280e-01
1.3717e+05 1.0986 5.330e-01
1.3550e+05 1.1183 5.340e-01
1.3316e+05 1.1449 5.310e-01
1.2903e+05 1.1885 5.240e-01
1.2500e+05 1.2273 5.100e-01
1.2092e+05 1.2629 5.000e-01
1.1696e+05 1.3117 4.990e-01
1.1287e+05 1.3807 4.680e-01
1.0893e+05 1.4091 3.800e-01
1.0753e+05 1.4028 3.600e-01
1.0482e+05 1.3948 3.390e-01
1.0081e+05 1.3964 3.180e-01
9.6805e+04 1.4047 2.910e-01
9.2764e+04 1.3981 2.510e-01
9.0909e+04 1.3886 2.440e-01
8.8731e+04 1.3806 2.390e-01
8.7719e+04 1.3772 2.390e-01
8.4674e+04 1.3783 2.440e-01
8.2645e+04 1.3929 2.470e-01
8.0645e+04 1.4061 2.240e-01
7.8616e+04 1.3999 1.950e-01
7.7220e+04 1.3777 1.740e-01
7.6628e+04 1.3607 1.720e-01
7.5815e+04 1.3389 1.800e-01
7.5019e+04 1.3210 1.940e-01
7.4184e+04 1.3030 2.130e-01
7.3421e+04 1.2871 2.430e-01
7.2993e+04 1.2849 2.710e-01
7.2569e+04 1.2851 2.890e-01
7.2098e+04 1.2970 3.340e-01
7.1788e+04 1.3151 3.440e-01
7.0972e+04 1.3575 3.820e-01
7.0175e+04 1.4130 4.010e-01
6.9686e+04 1.4525 4.065e-01
6.9348e+04 1.4845 4.050e-01
6.8966e+04 1.5157 3.890e-01
6.8540e+04 1.5484 3.770e-01
6.8120e+04 1.5729 3.450e-01
6.7751e+04 1.5915 3.320e-01
6.7568e+04 1.6021 3.150e-01
6.7340e+04 1.6077 2.980e-01
6.6934e+04 1.6156 2.740e-01
6.6138e+04 1.6220 2.280e-01
6.5317e+04 1.6311 1.980e-01
6.4935e+04 1.6345 1.720e-01
