#wn[cm-1] real imag
50000.00 1.500 0.070
40000.00 1.500 0.030
33333.33 1.500 0.010
29673.59 1.500 0.008
25000.00 1.500 0.008
20491.80 1.500 0.008
19417.47 1.500 0.008
18181.81 1.500 0.008
15797.78 1.500 0.008
14409.22 1.500 0.008
11627.90 1.500 0.008
9433.96 1.500 0.008
7692.30 1.500 0.008
6510.41 1.490 0.008
5555.55 1.480 0.008
5000.00 1.460 0.008
4444.44 1.460 0.008
4000.00 1.460 0.009
3703.70 1.460 0.010
3333.33 1.480 0.013
3125.00 1.480 0.014
2948.11 1.490 0.012
2857.14 1.490 0.011
2666.66 1.500 0.009
2500.00 1.500 0.007
2222.22 1.520 0.0075
2000.00 1.510 0.0090
1818.18 1.510 0.012
1666.66 1.480 0.015
1612.90 1.460 0.018
1538.46 1.450 0.024
1388.88 1.440 0.045
1265.82 1.380 0.072
1219.51 1.340 0.097
1176.47 1.620 0.121
1149.42 1.950 0.170
1111.11 2.200 0.215
1086.95 2.230 0.240
1052.63 2.250 0.275
1020.40 2.280 0.304
1000.00 2.300 0.320
944.19 2.200 0.305
909.09 2.150 0.270
869.56 2.050 0.240
800.00 1.800 0.155
769.23 1.760 0.148
714.28 1.700 0.145
675.67 1.650 0.157
666.66 1.650 0.170
609.75 1.750 0.200
581.39 1.850 0.240
555.55 2.000 0.305
540.54 2.100 0.325
500.00 2.250 0.318
469.48 2.400 0.290
444.44 2.500 0.350
400.00 2.600 0.400
358.42 2.500 0.430
333.33 2.400 0.450
285.71 2.300 0.520
250.00 2.250 0.650
