# wn[cm-1] real imag
4503.04 1.28210 3.0000e-04
4495.33 1.28177 3.0000e-04
4487.61 1.28146 3.0000e-04
4479.91 1.28113 3.0000e-04
4472.19 1.28080 3.0000e-04
4464.47 1.28046 3.0000e-04
4456.77 1.28012 3.1000e-04
4449.05 1.27977 3.3000e-04
4441.33 1.27943 3.5000e-04
4433.63 1.27909 3.7000e-04
4425.90 1.27874 3.9000e-04
4418.19 1.27840 4.1000e-04
4410.47 1.27806 4.3000e-04
4402.77 1.27771 4.4000e-04
4395.04 1.27736 4.5000e-04
4387.33 1.27700 4.6000e-04
4379.63 1.27664 4.6000e-04
4371.91 1.27626 4.6000e-04
4364.18 1.27587 4.6000e-04
4356.48 1.27547 4.6000e-04
4348.77 1.27506 4.7000e-04
4341.05 1.27465 4.8000e-04
4333.34 1.27423 5.0000e-04
4325.61 1.27380 5.2000e-04
4317.90 1.27337 5.5000e-04
4310.20 1.27294 5.8000e-04
4302.48 1.27251 6.2000e-04
4294.76 1.27207 6.5000e-04
4287.04 1.27163 6.9000e-04
4279.34 1.27119 7.3000e-04
4271.62 1.27075 7.6000e-04
4263.90 1.27031 7.9000e-04
4256.19 1.26985 8.1000e-04
4248.49 1.26939 8.3000e-04
4240.77 1.26892 8.5000e-04
4233.06 1.26844 8.6000e-04
4225.35 1.26795 8.8000e-04
4217.63 1.26746 8.9000e-04
4209.91 1.26694 9.0000e-04
4202.19 1.26642 9.1000e-04
4194.49 1.26589 9.2000e-04
4186.76 1.26534 9.3000e-04
4179.05 1.26479 9.4000e-04
4171.34 1.26422 9.5000e-04
4163.63 1.26364 9.7000e-04
4155.91 1.26304 9.8000e-04
4148.21 1.26244 1.0000e-03
4140.48 1.26181 1.0200e-03
4132.78 1.26119 1.0400e-03
4125.06 1.26054 1.0700e-03
4117.34 1.25989 1.1000e-03
4109.63 1.25921 1.1300e-03
4101.91 1.25853 1.1700e-03
4094.20 1.25784 1.2100e-03
4086.49 1.25715 1.2600e-03
4078.77 1.25645 1.3000e-03
4071.06 1.25574 1.3400e-03
4063.34 1.25501 1.3700e-03
4055.63 1.25426 1.4000e-03
4047.91 1.25351 1.4200e-03
4040.21 1.25273 1.4400e-03
4032.49 1.25192 1.4600e-03
4024.78 1.25111 1.4800e-03
4017.06 1.25028 1.5000e-03
4009.35 1.24942 1.5100e-03
4001.63 1.24855 1.5200e-03
3993.91 1.24765 1.5200e-03
3986.21 1.24674 1.5100e-03
3978.48 1.24579 1.4900e-03
3970.78 1.24481 1.4600e-03
3963.06 1.24379 1.4300e-03
3955.35 1.24274 1.3900e-03
3947.64 1.24165 1.3500e-03
3939.92 1.24052 1.3000e-03
3932.21 1.23934 1.2500e-03
3924.49 1.23812 1.1900e-03
3916.78 1.23683 1.1300e-03
3909.06 1.23550 1.0800e-03
3901.36 1.23409 1.0300e-03
3893.64 1.23263 1.0100e-03
3885.92 1.23111 1.0000e-03
3878.21 1.22953 1.0200e-03
3870.49 1.22790 1.0500e-03
3862.78 1.22619 1.1100e-03
3855.06 1.22443 1.2000e-03
3847.35 1.22260 1.3200e-03
3839.64 1.22073 1.5000e-03
3831.93 1.21881 1.7100e-03
3824.21 1.21687 1.9700e-03
3816.50 1.21493 2.2200e-03
3808.78 1.21294 2.4500e-03
3801.07 1.21091 2.6400e-03
3793.35 1.20878 2.7600e-03
3785.64 1.20652 2.8400e-03
3777.93 1.20410 2.8900e-03
3770.21 1.20149 2.9400e-03
3762.50 1.19866 3.0100e-03
3754.78 1.19563 3.1500e-03
3747.07 1.19240 3.3600e-03
3739.35 1.18892 3.6800e-03
3731.65 1.18526 4.1000e-03
3723.92 1.18130 4.6600e-03
3716.21 1.17711 5.3900e-03
3708.50 1.17260 6.3500e-03
3700.78 1.16784 7.6300e-03
3693.08 1.16285 9.2800e-03
3685.36 1.15767 1.1360e-02
3677.65 1.15242 1.3880e-02
3669.93 1.14712 1.6860e-02
3662.21 1.14188 2.0240e-02
3654.50 1.13677 2.3990e-02
3646.79 1.13170 2.8030e-02
3639.08 1.12675 3.2320e-02
3631.36 1.12172 3.6840e-02
3623.65 1.11674 4.1630e-02
3615.93 1.11156 4.6730e-02
3608.22 1.10639 5.2220e-02
3600.50 1.10100 5.8190e-02
3592.79 1.09576 6.4700e-02
3585.08 1.09035 7.1790e-02
3577.37 1.08531 7.9530e-02
3569.64 1.07993 8.7920e-02
3561.94 1.07539 9.7010e-02
3554.22 1.07061 1.0682e-01
3546.50 1.06647 1.1736e-01
3538.80 1.06299 1.2864e-01
3531.09 1.06019 1.4063e-01
3523.36 1.05737 1.5331e-01
3515.66 1.05648 1.6662e-01
3507.94 1.05562 1.8047e-01
3500.22 1.05641 1.9476e-01
3492.51 1.05813 2.0936e-01
3484.79 1.06078 2.2414e-01
3477.09 1.06541 2.3896e-01
3469.37 1.07018 2.5367e-01
3461.66 1.07698 2.6812e-01
3453.95 1.08463 2.8217e-01
3446.23 1.09334 2.9572e-01
3438.52 1.10298 3.0871e-01
3430.80 1.11351 3.2109e-01
3423.09 1.12485 3.3284e-01
3415.37 1.13702 3.4390e-01
3407.65 1.14997 3.5420e-01
3399.94 1.16335 3.6365e-01
3392.23 1.17857 3.7217e-01
3384.52 1.19324 3.7969e-01
3376.80 1.20866 3.8615e-01
3369.09 1.22477 3.9153e-01
3361.37 1.23989 3.9586e-01
3353.66 1.25639 3.9914e-01
3345.95 1.27299 4.0142e-01
3338.23 1.28866 4.0273e-01
3330.51 1.30465 4.0311e-01
3322.80 1.32049 4.0262e-01
3315.09 1.33667 4.0128e-01
3307.37 1.35142 3.9912e-01
3299.67 1.36800 3.9612e-01
3291.94 1.38195 3.9226e-01
3284.23 1.39757 3.8755e-01
3276.52 1.41163 3.8199e-01
3268.81 1.42602 3.7563e-01
3261.09 1.43909 3.6857e-01
3253.38 1.45237 3.6085e-01
3245.66 1.46444 3.5250e-01
3237.94 1.47641 3.4349e-01
3230.24 1.48809 3.3378e-01
3222.52 1.49874 3.2339e-01
3214.80 1.50813 3.1243e-01
3207.09 1.51721 3.0110e-01
3199.38 1.52483 2.8959e-01
3191.67 1.53230 2.7797e-01
3183.95 1.53876 2.6625e-01
3176.24 1.54455 2.5444e-01
3168.52 1.54951 2.4255e-01
3160.81 1.55438 2.3060e-01
3153.09 1.55858 2.1850e-01
3145.38 1.56211 2.0609e-01
3137.67 1.56552 1.9321e-01
3129.95 1.56722 1.7986e-01
3122.24 1.56817 1.6628e-01
3114.53 1.56752 1.5285e-01
3106.82 1.56568 1.3993e-01
3099.09 1.56235 1.2778e-01
3091.38 1.55854 1.1652e-01
3083.67 1.55398 1.0620e-01
3075.96 1.54903 9.6850e-02
3068.24 1.54354 8.8460e-02
3060.53 1.53831 8.0970e-02
3052.81 1.53293 7.4240e-02
3045.09 1.52777 6.8080e-02
3037.38 1.52270 6.2390e-02
3029.67 1.51770 5.7100e-02
3021.96 1.51275 5.2230e-02
3014.25 1.50776 4.7790e-02
3006.53 1.50294 4.3760e-02
2998.82 1.49817 4.0100e-02
2991.10 1.49362 3.6760e-02
2983.38 1.48913 3.3680e-02
2975.68 1.48489 3.0840e-02
2967.96 1.48064 2.8240e-02
2960.24 1.47657 2.5850e-02
2952.54 1.47265 2.3670e-02
2944.81 1.46879 2.1660e-02
2937.10 1.46509 1.9810e-02
2929.39 1.46151 1.8090e-02
2921.68 1.45801 1.6510e-02
2913.97 1.45461 1.5060e-02
2906.25 1.45129 1.3740e-02
2898.53 1.44806 1.2550e-02
2890.82 1.44494 1.1480e-02
2883.11 1.44196 1.0510e-02
2875.39 1.43904 9.6200e-03
2867.68 1.43624 8.8200e-03
2859.96 1.43353 8.0800e-03
2852.25 1.43089 7.4100e-03
2844.54 1.42836 6.8000e-03
2836.82 1.42588 6.2400e-03
2829.11 1.42349 5.7400e-03
2821.39 1.42115 5.2800e-03
2813.68 1.41888 4.8800e-03
2805.96 1.41668 4.5400e-03
2798.25 1.41456 4.2500e-03
2790.54 1.41252 4.0000e-03
2782.83 1.41056 3.7700e-03
2775.11 1.40865 3.5700e-03
2767.39 1.40681 3.3900e-03
2759.68 1.40502 3.2200e-03
2751.97 1.40330 3.0700e-03
2744.25 1.40161 2.9300e-03
2736.54 1.39996 2.8100e-03
2728.83 1.39837 2.7100e-03
2721.11 1.39681 2.6100e-03
2713.40 1.39529 2.5300e-03
2705.69 1.39382 2.4500e-03
2697.97 1.39236 2.3900e-03
2690.25 1.39094 2.3300e-03
2682.54 1.38954 2.2800e-03
2674.83 1.38816 2.2500e-03
2667.11 1.38681 2.2400e-03
2659.40 1.38549 2.2400e-03
