#wn[cm-1] real imag
50000.00 1.396 1.10e-7
40000.00 1.362 3.35e-8
33333.33 1.349 1.60e-8
29673.59 1.345 8.45e-9
25000.00 1.339 1.86e-9
20491.80 1.335 9.69e-10
19417.47 1.334 1.18e-9
18181.81 1.333 1.96e-9
15797.78 1.332 1.46e-8
14409.22 1.331 3.05e-8
11627.90 1.329 3.29e-7
9433.96 1.326 4.18e-6
7692.30 1.323 3.69e-5
6510.41 1.318 9.97e-5
5555.55 1.312 1.15e-4
5000.00 1.306 1.10e-3
4444.44 1.292 3.90e-4
4000.00 1.261 0.00174
3703.70 1.188 0.0190
3333.33 1.371 0.272
3125.00 1.478 0.0924
2948.11 1.422 0.0204
2857.14 1.400 0.0094
2666.66 1.369 0.0035
2500.00 1.351 0.0046
2222.22 1.332 0.0134
2000.00 1.325 0.0124
1818.18 1.298 0.0116
1666.66 1.265 0.107
1612.90 1.363 0.0880
1538.46 1.339 0.0392
1388.88 1.312 0.0321
1265.82 1.294 0.0339
1219.51 1.286 0.0351
1176.47 1.278 0.0367
1149.42 1.272 0.0379
1111.11 1.262 0.0399
1086.95 1.255 0.0415
1052.63 1.243 0.0444
1020.40 1.229 0.0479
1000.00 1.218 0.0508
944.19 1.179 0.0674
909.09 1.153 0.0968
869.56 1.126 0.142
800.00 1.123 0.259
769.23 1.146 0.305
714.28 1.210 0.370
675.67 1.258 0.396
666.66 1.270 0.402
609.75 1.346 0.427
581.39 1.386 0.429
555.55 1.423 0.426
540.54 1.443 0.421
500.00 1.480 0.393
469.48 1.491 0.379
444.44 1.506 0.370
400.00 1.531 0.356
358.42 1.549 0.339
333.33 1.551 0.328
285.71 1.532 0.336
250.00 1.519 0.385
222.22 1.536 0.449
200.00 1.587 0.514
181.81 1.645 0.551
166.66 1.703 0.587
153.84 1.762 0.582
142.85 1.821 0.576
125.00 1.920 0.520
111.11 1.979 0.490
100.00 2.037 0.460
90.90 2.060 0.440
83.33 2.082 0.420
74.07 2.094 0.410
66.66 2.106 0.400
60.60 2.109 0.410
55.55 2.113 0.420
50.00 2.117 0.430
40.00 2.120 0.460
33.33 2.121 0.490
25.00 2.142 0.530
20.00 2.177 0.580
13.33 2.291 0.650
10.00 2.437 0.730
6.66 2.562 0.960
5.00 2.705 1.19
3.33 3.013 1.59
2.00 3.627 2.14
1.00 4.954 2.79
0.50 6.728 2.87
0.33 7.682 2.51
